SNAME,SEINetName,county,institutionCode,identifiedBy,collector,collectionNumber,eventDate,year,modified,habitat,substrate,verbatimAttributes,occurrenceRemarks,associatedTaxa,reproductiveCondition,locality,locationRemarks,decimalLatitude,decimalLongitude,verbatimCoordinates,geodeticDatum,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,references,SEINet_id,occurrenceID,catalogNumber,accessionNumber,SEINetName_binomial,SEINetName_tri_shift,institutionCode_CNHP,textName,institutionCount,Unnamed: 3,iNatName,gbifID,otherCatalogNumbers,iNatName_binomial,iNatName_tri_shift,SFID,EOID,Descriptor,Locator,FeatureType,UncertType,UncertDist,DistanceUnit,DigiCom,MapCom,DigiBase,RepAcc,CValue2020,GELEMENTID,SELEMENTID,ELCODE,MAJORGROUP,GNAME,GCOMNAME,SCOMNAME,GRANK,SRANK,RNDGRANK,TRACK,INACTIVE,TRACKCOM,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,ECOSCALE,AQDEP,ENDEMISM,TRACKJUST,ELSENSJUST,GLOBALSSEQID,CLASSIFICATIONSTATUS,ORIGIN
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Mesa,RM,,Lori E. Brummer,11493,8/27/2012,2012,11/22/2016 23:30,Drying edge of subalpine pond.,,,,,flowering,"Grand Mesa: Grand Mesa National Forest: Mesa Lakes area; Glacier Springs Trail, W along West Bench, to ca 2 mi W of Glacier Springs Campground, ca 25.5 m ESE of Grand Junction.",,39.043,-108.1067,"39.043° N, 108.1067° W to 39.0463° N, 108.0925° W; NAD 83, , GPS reading; T11S R96W S34 South1/2; also SW1/4 S35",NAD 83,,GPS reading,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13057958,13057958,,,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Mesa,RM,,"Lori E. Brummer, Gay Austin",11999,9/15/2012,2012,11/22/2016 23:30,Disturbed area where water recedes near the reservoir.,,,,,flowering,"Grand Mesa: Grand Mesa National Forest: Kennicott Slough Reservoir; east side of the reservoir, ca 32 3/4 air mi ESE of Grand Junction.",,39.0308,-107.9574,"39.0308° N, 107.9574° W; NAD 83, , GPS reading; T12S R95W S12 NE1/4",NAD 83,,GPS reading,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13058447,13058447,,,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Mesa,RM,,"Lori E. Brummer, Gay Austin",11604,9/8/2012,2012,11/22/2016 23:30,Edge of drying subalpine reservoir.,,,,,flowering,"Grand Mesa: Grand Mesa National Forest: Reservoir No. 9, just off of Lands End Road, ca 26 3/4 air mi ESE of Grand Junction.",,39.0281,-108.0645,"39.0281° N, 108.0645° W; NAD 83, , GPS reading; T12S R96W S12 NE1/4",NAD 83,,GPS reading,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13058063,13058063,,,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Mesa,RM,,"Lori E. Brummer, Gay Austin",11614,9/8/2012,2012,11/22/2016 23:30,Along edge of subalpine fen.,,,,,flowering,"Grand Mesa: Grand Mesa National Forest: Kannah Creek headwaters area, ""Sur Fen"", about 0.5 air mi NE of the radio tower, ca 29 air mi E of Grand Junction.",,39.0497,-108.0126,"39.0497° N, 108.0126° W; NAD 83, , GPS reading; T11S R95W S33 NE1/4",NAD 83,,GPS reading,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13058073,13058073,,,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Las Animas,RM,,Ronald L. Hartman,65407,7/29/1999,1999,2/6/2013 11:08,,,,,,flowering and fruiting,"Wet Mountains, Wet Mountain Valley, Sangre de Cristo Range, and Vicinity: Little Fishers Peak Mesa, 3 air mi N of Lake Maloya.",,37.0253,-104.3667,"37.0253° N, 104.3667° W",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1764648,1764648,,,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Conejos,COLO,Mathew T Sharples,Mathew T. Sharples,648,7/30/2013,2013,8/23/2023 10:07,Subalpine meadows,,,herb to 0.3 M; rays yellow,,,Rio Grande National Forest; ~9 miles SW of Platoro; just E of Blue Lake,,37.23886,-106.6243,"N 37.23885°, W 106.62371°, NAD 27",WGS84,SoRo; Biogeomancer Guide to Best Practices in Georeferencing,National Geographic TOPO!,,I placed the point at the collector provided coordinates east of Blue Lake. RA; Georeferenced 7/30/2020,https://botanydb.colorado.edu/collections/individual/index.php?occid=377751,377751,8c0f114a-a8ea-4a6c-b469-d62afcddf1c5,2086734,552913,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis,Conejos,COLO,Mathew T Sharples,Mathew T. Sharples,299,6/26/2013,2013,8/23/2023 10:07,Muddy river banks,,,herb to 0.2 M,,,Rio Grande National Forest; ~9 miles ENE of Platoro; by Alamosa River ~1 mile W of Alamosa River CG,,37.38208,-106.36145,"N 37.38207°, W 106.36087°, NAD 27",WGS84,SoRo; Biogeomancer Guide to Best Practices in Georeferencing,National Geographic TOPO!,,I placed the point at the converted collector provided coordinates west of the campground. RA; Geocoded 7/29/2019,https://botanydb.colorado.edu/collections/individual/index.php?occid=378293,378293,7a94ef5a-6b91-425e-8666-01fa13d12491,2086312,552871,Alopecurus aequalis,Alopecurus aequalis,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,LAS ANIMAS,COLO,,Dina Clark,4880,7/26/2019,2019,8/23/2023 10:07,clearing within mixed woodland of Quercus and Robinia neomexincana with Prunus virginiana;,,,,,,"Crazy French Ranch, Raton Mesa and vicinity; east side of I-25 approx. 6 miles south of the town of Trinidad and just north of New Mexico; west-facing flanks of Fishers Peak Mesa; bench below protruding point or ""berg"" of mesa top;",,37.05519,-104.46099,"37.05519N, 104.46099W, WGS84;",WGS84,Biogeomancer Guide to Best Practices in Georeferencing,GEOLocate,,"Coordinates confirmed, MS 4/30/22.",https://botanydb.colorado.edu/collections/individual/index.php?occid=440573,440573,f251e2c9-1e7e-454f-9c1a-7a6f01d7901e,2410892,562390,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis,LAS ANIMAS,COLO,,Dina Clark,4814,7/18/2019,2019,8/23/2023 10:07,"spring-fed drainage within Robinia neomexicana , Sabina scopulorum and Quercus woodland;",,,,,,"Crazy French Ranch, Raton Mesa and vicinity; east side of I-25 approx. 6 miles south of the town of Trinidad and just north of New Mexico; eroded slope below Bartlett Mesa and south of McBride Creek;",,37.0028,-104.45025,"37.00280N, 104.45025W, WGS84;",WGS84,Biogeomancer Guide to Best Practices in Georeferencing,GEOLocate,,"Coordinates confirmed, MS 4/27/22.",https://botanydb.colorado.edu/collections/individual/index.php?occid=440507,440507,869b8f8f-9c9e-47a8-acc1-10895c5f6a35,2446300,562324,Alopecurus aequalis,Alopecurus aequalis,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Lake,COLO,,Emily A. Holt,8311,8/27/2001,2001,8/16/2024 9:32,Palustrine near creek surrounded by willow and lodgepole.,,,Project: Holt 2001; Land Owner: FS-SI;,,,"Central Colorado: Sawatch Range, East Slope Continental Divide: along Forest Road 110 (Half-Moon Road) just S of gauging station, along Half Moon Creek, ca 10 air mi SW of Leadville.",,39.1659,-106.3951,"39.1659° N, 106.3951° W; T10S R81W S24",,,,,,https://botanydb.colorado.edu/collections/individual/index.php?occid=374929,374929,89e3ff40-7d6f-4346-9de3-7644dbd83a06,2141018,566847,Alopecurus aequalis,Alopecurus aequalis,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Conejos,COLO,,Ben Gilbert,107,7/30/1987,1987,7/30/2015 0:00,Loam soil; open northwest-facing slope.,,,,,Flr & Frt,On CR 108; 0.7 miles from Colo. Hwy. 17.,,37.08462,-106.34204,T33N R6E SEC20,WGS84,COLO IMLS 2015; Biogeomancer Guide to Best Practices in Georeferencing,National Geographic Topo!,,"Plotted point on NW facing slope on the 10200 contour line in given TRS. 0.7 miles from Hwy 17 lands in Sec 21 (or in R5E, depending on which side of Hwy 17), which has no elevation of 10200, so followed given TRS instead, as well as other similar localit",https://botanydb.colorado.edu/collections/individual/index.php?occid=112561,112561,71daea67-34de-424b-bf5f-993d7d9f1dec,1812684,554611,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Saguache,COLO,,Melissa Islam,12-278,6/20/2012,2012,8/16/2024 9:32,Prairie near bank of creek. With Oxytropis deflexa.,,,"USGS 84. Baca National Wildlife Refuge Floristic Inventory. ID: Pam Regensberg, December 2012.",,Flr & Frt,"Baca National Wildlife Refuge, San Luis Valley; ca. 2 air miles southwest of Crestone. Ca. 0.3 miles west of headquarters or main road to refuge. Crestone Creek.",,37.97917,-105.73048,"37.97917, 105.73048;",,,,,,https://botanydb.colorado.edu/collections/individual/index.php?occid=112593,112593,0569e7bb-fe91-42ba-8eef-63dca6074ebb,1821958,545838,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Saguache,COLO,,Pam Regensberg,186,7/7/2006,2006,7/30/2015 0:00,In dry wet meadow w/ Juncus spp.,,,"Crestone Quad. WGS84. A Floristic Survey of the Baca National Wildlife Refuge, San Luis Valley, Colorado, USA.",,Flr & Frt,"Baca National Wildlife Refuge, San Luis Valley. Ca. 2 air miles WSW of Crestone. Ca. ½ mile S of County Road T; ¼ mi. E of Ranch HQ. Near bank of Crestone Creek.",,37.97831,-105.7265,13S 0436196 4203657; T43N R11E,WGS84,COLO IMLS 2015; Biogeomancer Guide to Best Practices in Georeferencing,National Geographic TOPO!,,I placed the point at the collector provided coordinates southwest of Crestone. RA; Georeferenced 06 July 2017,https://botanydb.colorado.edu/collections/individual/index.php?occid=112245,112245,e9a017dc-64f5-4f03-a546-77937d1684ac,889683,523111,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Jackson,COLO,,Bethany Lewis,400,6/30/2007,2007,7/30/2015 0:00,Willow riparian area. Grassland meadow.,,,"Yellow flrs. WGS84. 7.5' Mac Farlane Quad. A Floristic Survey of Arapaho National Wildlife Refuge, North Park, Colorado, U.S.A.",,Flr,"Arapaho National Wildlife Refuge, North Park. Ca. 9 air miles S of Walden.",,40.6157,-106.2852,"N40°36.942, W106°17.112; T7N R79W SEC5",WGS84,COLO IMLS 2015; Biogeomancer Guide to Best Practices in Georeferencing,National Geographic Topo!,,The lat/long is in section 32 not section 5. I placed the point at the collector provided lat/long and increased the uncertainty to cover the section and coordinates. RA; Georeferenced 27 September 2016,https://botanydb.colorado.edu/collections/individual/index.php?occid=112343,112343,bc8d513f-d7a8-476f-b9a5-37833d82d95c,920280,526376,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Jackson,COLO,,Bethany Lewis,203,6/4/2007,2007,7/30/2015 0:00,Willow riparian area and Grassland meadow.,,,"Yellow flrs. WGS84. 7.5' Owl Ridge Quad. A Floristic Survey of Arapaho National Wildlife Refuge, North Park, Colorado, U.S.A.",,Flr & Frt,"Arapaho National Wildlife Refuge, North Park. Ca. 11 air miles SE of Walden.",,40.55915,-106.22518,"N40°33.549, W106°13.511; T7N R79W SEC23",WGS84,COLO IMLS 2015; Biogeomancer Guide to Best Practices in Georeferencing,National Geographic Topo!,,Plotted at the given lat/long. Matches written description so no reason to doubt point. BL; Georeferenced 06 July 2015,https://botanydb.colorado.edu/collections/individual/index.php?occid=112342,112342,ef10a64e-5a78-4a43-b2cd-06a995b2a59a,920231,526375,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Jackson,COLO,,Bethany Lewis,344,6/18/2007,2007,7/30/2015 0:00,Willow riparian area and irrigated meadow.,,,"Yellow flrs. WGS84. 7.5' Walden Quad. A Floristic Survey of Arapaho National Wildlife Refuge, North Park, Colorado, U.S.A.",,Flr & Frt,"Arapaho National Wildlife Refuge, North Park. Ca. 5.5 air miles SW of Walden.",,40.66535,-106.3548,"N40°39.921, W106°21.288; T8N R80W SEC15",WGS84,COLO IMLS 2015; Biogeomancer Guide to Best Practices in Georeferencing,National Geographic Topo!,,I placed the point at the collector provided lat long southwest of Walden. RA; Georeferenced 27 September 2016,https://botanydb.colorado.edu/collections/individual/index.php?occid=112341,112341,0c994f27-e5ff-4587-89f0-3b903c285353,920223,526374,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Boulder,COLO,,Francis Daniels,622,7/28/1906,1906,8/23/2023 10:07,Bogs.,,,"Fruits necessary for identification. Det. W.A. Weber. 1950. Original ID: Agoseris parviflora (Nutt.) Dietr. Voucher: Daniels, F.P., 1911. Flora of Boulder, Colorado and vicinity. U. of Missouri Studies 2 (2): 1-311.",,Flr,Eldora.,,39.9485931,-105.5638957,,WGS84,Mapstedi,National Geographic TOPO!,,I plotted the UTM at the GNIS point for Eldora. RA,https://botanydb.colorado.edu/collections/individual/index.php?occid=112294,112294,e2f0d1f5-b13d-4637-9ab9-79ef0642b63d,905406,535831,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Boulder,COLO,,Francis Daniels,20,6/21/1906,1906,8/23/2023 10:07,Common in plains.,,,"Mixture, A. glauca & A. aurantiaca. Det. William A. Weber. 1950. Voucher: Daniels, F.P., 1911. Flora of Boulder, Colorado and vicinity. U. of Missouri Studies 2 (2): 1-311.",,Frt,Boulder.,,40.0149774,-105.2705492,,WGS84,Mapstedi,National Geographic TOPO!,,I plotted the UTM at the GNIS point for Boulder and increased the CV to cover all of the town. RA,https://botanydb.colorado.edu/collections/individual/index.php?occid=112318,112318,84d3f4ea-5098-4730-a092-373e73ac5210,906362,535905,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Park,COLO,,Loraine Yeatts,4014,8/9/1997,1997,8/16/2024 9:32,"Populus tremuloides meadow openings on flat to gentle slope w/ Erigeron subtrinervis, Mahonia repens, Achillea lanulosa, Dugaldia hoopesii, Thermopsis sp., Iris missouriensis; Astragalus tenellus, Delphinium ramosum; occasional among clumps of grass. Substrate boundary between Leadville Limestone and Minturn-Belden Formation.",,,7.5' Jones Hill quad. Flowers lemon yellow.,,Flr & Frt,"Mosquito Range, San Isabel National Forest, below junction of Rough and Tumbling Creek and Lynch Creek.",,39.0400316,-106.1126952,03750E 21600N;,WGS84,Mapstedi,,,I plotted the UTM at the expanded collector provided UTM. This is closer to 10200 ft. RA,https://botanydb.colorado.edu/collections/individual/index.php?occid=115649,115649,0eed1414-3583-4f49-a18c-f144b60eeb3c,442483,474953,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Grand,COLO,,D. Randolph,1366,8/23/1993,1993,8/16/2024 9:32,"Riparian, with Pinus contorta, Salix lucida, S. monticola, S. geyeriana, and Calamagrostis canadensis.",,,Determined by R. J. Rondeau. Flowers yellow. Colorado Natural Heritage Program Riparian Vegetation Study.,,Flr & Frt,"Arapaho National Forest, along Willow Creek, 0.7 miles downstream of confluence with Sawmill Gulch, 9.7 miles up Hwy 125 from Hwy 40.",,40.2206753,-106.055222,T3N R77W,WGS84,Mapstedi,,,I placed point .7 mi downstream from confluence with Sawmill Gulch on Willow Creek TF,https://botanydb.colorado.edu/collections/individual/index.php?occid=110003,110003,0b736c02-6bf3-4f24-8c49-497013e03593,36822,457435,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Eagle,COLO,,S. Spackman,93-639,9/14/1993,1993,8/23/2023 10:07,"Riparian community of Picea pungens, Alnus incana, mesic forbs.",,,Determined by R. J. Rondeau. Flowers yellow. Colorado Natural Heritage Program Riparian Vegetation Study.,,Flr,Gore Creek at Vail.,,39.6429541,-106.3866583,"T5S R80W Sec6, 7",WGS84,Mapstedi,National Geographic Topo!,,"Gore Creek in T5S, R80W, S6 and 7 runs 1.03miles, so at the midpoint (0.51miles) is where the UTM is plotted. It corresponds with the given T5S, R80W, the border of S6 and S7. LJ",https://botanydb.colorado.edu/collections/individual/index.php?occid=110002,110002,483bec43-7bd2-4b7e-ab4f-ca61e70f706c,36814,457434,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Summit,COLO,,Randall J. Fritz,sn,1979-06-00,1979,7/30/2015 0:00,,,,,,Flr,Ten Mile Range. Eastern and western slope between Peaks 5 and 7.,,39.4961,-106.11338,,WGS84,COLO IMLS 2015; Biogeomancer Guide to Best Practices in Georeferencing,National Geographic TOPO!,,"I placed the point halfway between Tenmile Peak 5 and 7 along the ridge. I increased the uncertainty to cover the eastern and western slopes down to 11,400 ft. RA; Georeferenced 11 July 2016",https://botanydb.colorado.edu/collections/individual/index.php?occid=109430,109430,c3f6cdac-d3bd-4fe1-9f2f-6d443b22d9a4,29371,341405,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,Gunnison,COLO,,Ralph K. Gierisch,2877,7/30/1964,1964,8/16/2024 9:32,"Clay loam, west exposure, 5% slope. Associated plants, grassland, Feth Feid Stle GER",,,"Abundance-occasional; flower color-yellow; range condition-fair; Vine, biennial. common name-Pale Agoseris.",,Frt,Black Mesa.,,38.5220255,-107.4618201,T49N R5½W Sec12,WGS84,Mapstedi,,,I put the point in the TRS given on a W facing slope at the elevation given. AAS Good. RA,https://botanydb.colorado.edu/collections/individual/index.php?occid=109428,109428,95d74e63-f17f-4b92-90eb-1beee46954a2,29348,200200,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
Agoseris glauca,Agoseris glauca,San Juan,COLO,,Joan Michener,859,8/23/1961,1961,8/16/2024 9:32,Stablized and vegetated scree and talus slopes.,,,,,Flr,"San Juan Nat. Forest: Leviathan Basin. Animas River drainage, ca. 18 mi. S.E. of Silverton. Slopes above ""North Leviathan"" Lake.",,37.6630185,-107.5738255,"37°38'N, 107°37'W;",WGS84,Mapstedi,,,I plotted the UTM on the slopes above the lake north of Leviathan Lake between the 12680 and 12720 ft contour lines. RA,https://botanydb.colorado.edu/collections/individual/index.php?occid=109427,109427,919dba6b-dc98-42c5-a4d1-8d1c15a76c01,29330,182527,Agoseris glauca,Agoseris glauca,COLO,University of Colorado,106465,,,,,,,,,,,,,,,,,,,7,235133,40347,PDAST090N0,Vascular Plants,Agoseris glauca,Prairie Agoseris,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,961013,1,Unknown/Undetermined
